case_id,citation,decision_date,has_termination,has_discipline,has_retaliation,has_coercion,has_privacy_violation,has_exclusion,has_mental_stress,claim_to_termination_days,timeline_flags
2020onwsiat95,2020 ONWSIAT 95 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat96,2020 ONWSIAT 96 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat97,2020 ONWSIAT 97 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat98,2020 ONWSIAT 98 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat99,2020 ONWSIAT 99 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat100,2020 ONWSIAT 100 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat101,2020 ONWSIAT 101 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat102,2020 ONWSIAT 102 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat103,2020 ONWSIAT 103 (CanLII),2020-01-15,0,0,0,0,0,0,0,,
2020onwsiat104,2020 ONWSIAT 104 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat105,2020 ONWSIAT 105 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat106,2020 ONWSIAT 106 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat107,2020 ONWSIAT 107 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat108,2020 ONWSIAT 108 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat109,2020 ONWSIAT 109 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat110,2020 ONWSIAT 110 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat111,2020 ONWSIAT 111 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat112,2020 ONWSIAT 112 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat113,2020 ONWSIAT 113 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat114,2020 ONWSIAT 114 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat115,2020 ONWSIAT 115 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat116,2020 ONWSIAT 116 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat117,2020 ONWSIAT 117 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat118,2020 ONWSIAT 118 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat119,2020 ONWSIAT 119 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat120,2020 ONWSIAT 120 (CanLII),2020-01-16,0,0,0,0,0,0,0,,
2020onwsiat121,2020 ONWSIAT 121 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat122,2020 ONWSIAT 122 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat123,2020 ONWSIAT 123 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat124,2020 ONWSIAT 124 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat125,2020 ONWSIAT 125 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat126,2020 ONWSIAT 126 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat127,2020 ONWSIAT 127 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat128,2020 ONWSIAT 128 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat129,2020 ONWSIAT 129 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat130,2020 ONWSIAT 130 (CanLII),2020-01-17,0,0,0,0,0,0,1,,
2020onwsiat131,2020 ONWSIAT 131 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat132,2020 ONWSIAT 132 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat133,2020 ONWSIAT 133 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat134,2020 ONWSIAT 134 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat135,2020 ONWSIAT 135 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat136,2020 ONWSIAT 136 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat137,2020 ONWSIAT 137 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat138,2020 ONWSIAT 138 (CanLII),2020-01-17,0,0,0,0,0,0,0,,
2020onwsiat139,2020 ONWSIAT 139 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat140,2020 ONWSIAT 140 (CanLII),2020-01-20,0,0,0,0,0,0,1,,
2020onwsiat141,2020 ONWSIAT 141 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat142,2020 ONWSIAT 142 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat143,2020 ONWSIAT 143 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat144,2020 ONWSIAT 144 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat145,2020 ONWSIAT 145 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat146,2020 ONWSIAT 146 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat147,2020 ONWSIAT 147 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat148,2020 ONWSIAT 148 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat149,2020 ONWSIAT 149 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat150,2020 ONWSIAT 150 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat151,2020 ONWSIAT 151 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat152,2020 ONWSIAT 152 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat153,2020 ONWSIAT 153 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat154,2020 ONWSIAT 154 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat155,2020 ONWSIAT 155 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat156,2020 ONWSIAT 156 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat157,2020 ONWSIAT 157 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat158,2020 ONWSIAT 158 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat159,2020 ONWSIAT 159 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat160,2020 ONWSIAT 160 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat161,2020 ONWSIAT 161 (CanLII),2020-01-20,0,0,0,0,0,0,0,,
2020onwsiat162,2020 ONWSIAT 162 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat163,2020 ONWSIAT 163 (CanLII),2020-01-21,0,0,0,0,0,0,1,,
2020onwsiat164,2020 ONWSIAT 164 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat165,2020 ONWSIAT 165 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat166,2020 ONWSIAT 166 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat167,2020 ONWSIAT 167 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat168,2020 ONWSIAT 168 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat169,2020 ONWSIAT 169 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat170,2020 ONWSIAT 170 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat171,2020 ONWSIAT 171 (CanLII),2020-01-21,0,0,0,0,0,0,1,,
2020onwsiat172,2020 ONWSIAT 172 (CanLII),2020-01-21,0,0,0,0,0,0,0,,
2020onwsiat173,2020 ONWSIAT 173 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat174,2020 ONWSIAT 174 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat175,2020 ONWSIAT 175 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat176,2020 ONWSIAT 176 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat177,2020 ONWSIAT 177 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat178,2020 ONWSIAT 178 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat179,2020 ONWSIAT 179 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat180,2020 ONWSIAT 180 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat181,2020 ONWSIAT 181 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat182,2020 ONWSIAT 182 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat183,2020 ONWSIAT 183 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat184,2020 ONWSIAT 184 (CanLII),2020-01-22,0,0,0,0,0,0,0,,
2020onwsiat185,2020 ONWSIAT 185 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat186,2020 ONWSIAT 186 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat187,2020 ONWSIAT 187 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat188,2020 ONWSIAT 188 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat189,2020 ONWSIAT 189 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat190,2020 ONWSIAT 190 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
